Spotify URI,Voter ID,Created,Points Assigned,Comment,Round ID
spotify:track:1yjY7rpaAQvKwpdUliHx0d,ac813392a79c4a7f9ea22dc0b007c908,2025-07-11T11:50:12Z,2,,0750048098a24f238f6f051d212afff0
spotify:track:3IkWmgGsXbsafrunwPojXO,ac813392a79c4a7f9ea22dc0b007c908,2025-07-11T11:50:12Z,3,,0750048098a24f238f6f051d212afff0
spotify:track:0M595TbsWjBATdeAPowY4m,ac813392a79c4a7f9ea22dc0b007c908,2025-07-11T11:50:12Z,1,,0750048098a24f238f6f051d212afff0
spotify:track:0MHXrqn909p0LRTPsNsGEi,ac813392a79c4a7f9ea22dc0b007c908,2025-07-11T11:50:12Z,1,,0750048098a24f238f6f051d212afff0
spotify:track:0z4kyKuFGmUV7WQ7gB1sAp,ac813392a79c4a7f9ea22dc0b007c908,2025-07-11T11:50:12Z,1,,0750048098a24f238f6f051d212afff0
spotify:track:0LQtEJt7x0s6knb6RKdRYc,ac813392a79c4a7f9ea22dc0b007c908,2025-07-11T11:50:12Z,2,,0750048098a24f238f6f051d212afff0
spotify:track:1yjY7rpaAQvKwpdUliHx0d,150852783a7f408b9e60d22546416953,2025-07-11T12:09:14Z,3,Now for the random guesses! Em.,0750048098a24f238f6f051d212afff0
spotify:track:3IkWmgGsXbsafrunwPojXO,150852783a7f408b9e60d22546416953,2025-07-11T12:09:14Z,2,Hannah :),0750048098a24f238f6f051d212afff0
spotify:track:5gCTgcvFfs0d9ShWLY2S1V,150852783a7f408b9e60d22546416953,2025-07-11T12:09:14Z,0,Erin,0750048098a24f238f6f051d212afff0
spotify:track:7eeXZXJBBqjfQEYNB49PqW,150852783a7f408b9e60d22546416953,2025-07-11T12:09:14Z,2,Rachel,0750048098a24f238f6f051d212afff0
spotify:track:04j67XNNVu1HI7JrIlMM3S,150852783a7f408b9e60d22546416953,2025-07-11T12:09:14Z,2,Kathryn,0750048098a24f238f6f051d212afff0
spotify:track:0LQtEJt7x0s6knb6RKdRYc,150852783a7f408b9e60d22546416953,2025-07-11T12:09:14Z,0,Gosia,0750048098a24f238f6f051d212afff0
spotify:track:0M595TbsWjBATdeAPowY4m,150852783a7f408b9e60d22546416953,2025-07-11T12:09:14Z,0,Patrick maybe,0750048098a24f238f6f051d212afff0
spotify:track:0MHXrqn909p0LRTPsNsGEi,150852783a7f408b9e60d22546416953,2025-07-11T12:09:14Z,0,Big Head ,0750048098a24f238f6f051d212afff0
spotify:track:0z4kyKuFGmUV7WQ7gB1sAp,150852783a7f408b9e60d22546416953,2025-07-11T12:09:14Z,1,Matthew 100% Nerd,0750048098a24f238f6f051d212afff0
spotify:track:04j67XNNVu1HI7JrIlMM3S,f29c7c3fa4ab415c95422bd0e591a18e,2025-07-11T12:23:13Z,4,Banger. Top tier song,0750048098a24f238f6f051d212afff0
spotify:track:0LQtEJt7x0s6knb6RKdRYc,f29c7c3fa4ab415c95422bd0e591a18e,2025-07-11T12:23:13Z,1,The song I never knew I needed,0750048098a24f238f6f051d212afff0
spotify:track:0M595TbsWjBATdeAPowY4m,f29c7c3fa4ab415c95422bd0e591a18e,2025-07-11T12:23:13Z,2,Sensational pick,0750048098a24f238f6f051d212afff0
spotify:track:1yjY7rpaAQvKwpdUliHx0d,f29c7c3fa4ab415c95422bd0e591a18e,2025-07-11T12:23:13Z,1,Gotta respect the pick,0750048098a24f238f6f051d212afff0
spotify:track:2yvLgJd9ZcOUwdaPBhsKhn,f29c7c3fa4ab415c95422bd0e591a18e,2025-07-11T12:23:13Z,2,Truly a delight of a song,0750048098a24f238f6f051d212afff0
spotify:track:5gCTgcvFfs0d9ShWLY2S1V,2bbb70be8ec74252baabed5d4363123f,2025-07-11T12:40:22Z,2,,0750048098a24f238f6f051d212afff0
spotify:track:04j67XNNVu1HI7JrIlMM3S,2bbb70be8ec74252baabed5d4363123f,2025-07-11T12:40:22Z,2,,0750048098a24f238f6f051d212afff0
spotify:track:0MHXrqn909p0LRTPsNsGEi,2bbb70be8ec74252baabed5d4363123f,2025-07-11T12:40:22Z,2,,0750048098a24f238f6f051d212afff0
spotify:track:0z4kyKuFGmUV7WQ7gB1sAp,2bbb70be8ec74252baabed5d4363123f,2025-07-11T12:40:22Z,1,,0750048098a24f238f6f051d212afff0
spotify:track:3IkWmgGsXbsafrunwPojXO,2bbb70be8ec74252baabed5d4363123f,2025-07-11T12:40:22Z,3,,0750048098a24f238f6f051d212afff0
spotify:track:1yjY7rpaAQvKwpdUliHx0d,1f6d56cafbc54fe7afb1aea5d886923f,2025-07-11T12:53:48Z,3,,0750048098a24f238f6f051d212afff0
spotify:track:2yvLgJd9ZcOUwdaPBhsKhn,1f6d56cafbc54fe7afb1aea5d886923f,2025-07-11T12:53:48Z,1,,0750048098a24f238f6f051d212afff0
spotify:track:7eeXZXJBBqjfQEYNB49PqW,1f6d56cafbc54fe7afb1aea5d886923f,2025-07-11T12:53:48Z,2,,0750048098a24f238f6f051d212afff0
spotify:track:0M595TbsWjBATdeAPowY4m,1f6d56cafbc54fe7afb1aea5d886923f,2025-07-11T12:53:48Z,4,,0750048098a24f238f6f051d212afff0
spotify:track:04j67XNNVu1HI7JrIlMM3S,6ced1c59efcf488abb16960d2cd99acd,2025-07-11T15:32:41Z,3,,0750048098a24f238f6f051d212afff0
spotify:track:0z4kyKuFGmUV7WQ7gB1sAp,6ced1c59efcf488abb16960d2cd99acd,2025-07-11T15:32:41Z,1,,0750048098a24f238f6f051d212afff0
spotify:track:1yjY7rpaAQvKwpdUliHx0d,6ced1c59efcf488abb16960d2cd99acd,2025-07-11T15:32:41Z,2,,0750048098a24f238f6f051d212afff0
